Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References
UBERON:0002069	stratum granulosum of epidermis	Stratum granulosum (SG)	CL:0000312	keratinocyte	Keratinocyte (Granular)	HGNC:11998, HGNC:2718, HGNC:6413, HGNC:7107	DOI:10.1146/annurev.cb.11.110195.001011|DOI:10.1083/jcb.200603161|DOI:10.1083/jcb.200603161|PMID:8689554||PMID:16831889|PMID:16831889
UBERON:0002067	dermis	Dermis	CL:0000359	smooth muscle cell	Perivascular smooth muscle cell	HGNC:130, HGNC:1441, HGNC:2155	DOI:10.1002/biot.201200199|DOI:10.1083/jcb.113.1.147|NoDOI|PMID:23554249|PMID:2007619|PMID:8006064|
UBERON:0002072	hypodermis	Subcutaneous	CL:0000359	smooth muscle cell	Perivascular smooth muscle cell	HGNC:130, HGNC:1441, HGNC:2155	DOI:10.1002/biot.201200199|NoDOI|NoDOI|PMID:23554249|PMID:8006064|
UBERON:0007121	skin nerve field	nerve	CL:0000540	Neuron	Neuron	HGNC:12513, HGNC:17888, HGNC:7738	DOI:10.14670/HH-11-610|DOI:10.1212/WNL.0000000000001773|DOI:10.1016/j.pneurobio.2009.10.020|DOI:10.1016/S0065-1281(97)80024-4|PMID:25799052|PMID:26109717|PMID:19879917|PMID:9381913|
UBERON:0002072	hypodermis	Subcutaneous	CL:0000545	T-helper 1 cell	T helper	HGNC:1673, HGNC:1678	DOI:10.1111/1523-1747.ep12470172|DOI:10.1111/1523-1747.ep12470172|DOI:10.1111/1523-1747.ep12470172|PMID:3494791|PMID:3494791|PMID:3494791
UBERON:0002067	dermis	Dermis	CL:0000545	T-helper 1 cell	T helper	HGNC:1673, HGNC:1678	DOI:10.1111/1523-1747.ep12470172|DOI:10.1111/1523-1747.ep12470172|DOI:10.1111/1523-1747.ep12470172|PMID:3494791|PMID:3494791|PMID:3494791
UBERON:0002067	dermis	Dermis	CL:0000623	natural killer cell	Natural killer cell	HGNC:1673, HGNC:3619, HGNC:7656	DOI:10.1016/j.jaci.2009.11.020|DOI:10.1016/s1471-4906(01)02060-9|DOI:10.1016/s1471-4906(01)02060-9|DOI:10.1016/s1471-4906(01)02060-9|PMID:20109737|PMID:11698225||PMID:11698225||PMID:11698225|
UBERON:0002025	stratum basale of epidermis	Stratum basale (SB)	CL:0000646	basal cell	Keratinocyte (Basal)	HGNC:11998, HGNC:2718, HGNC:6416, HGNC:6442, HGNC:7107	DOI:10.1038/nrm3175|DOI:10.1083/jcb.200603161|DOI:10.1083/jcb.200603161|PMID:21860392|PMID:16831889|PMID:16831889
UBERON:0002026	stratum spinosum of epidermis	Stratum spinosum (SS)	CL:0000649	prickle cell	Keratinocytes (Spinous)	HGNC:6412, HGNC:6413	DOI:10.1038/jid.1952.87|DOI:10.1083/jcb.200603161|DOI:10.1083/jcb.200603161|PMID:12981303||PMID:16831889|PMID:16831889
UBERON:0002067	dermis	Dermis	CL:0000669	pericyte cell	Pericyte	HGNC:130, HGNC:6934, HGNC:8804	DOI:10.1186/s12929-018-0423-7|DOI:10.1083/jcb.113.1.147|DOI:10.1016/j.jchemneu.2018.06.001|PMID:295192458|PMID:2007619|PMID:29885791
