s	slabel	user_slabel	o	olabel	user_olabel
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001624	anterior cerebral artery	anterior cerebral artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0006764	anterior communicating artery	anterior communicating artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0014696	anterior choroidal artery	anterior choroidal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0007693	caroticotympanic artery	caroticotympanic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035492	inferior hypophysial artery	inferior hypophysial artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001627	middle cerebral artery	middle cerebral artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035462	anterior parietal artery	anterior parietal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035225	anterior temporal artery	anterior temporal artery
UBERON:0035042	middle temporal artery	middle temporal artery	UBERON:0001627	middle cerebral artery	middle cerebral artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035042	middle temporal artery	middle temporal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0035222	posterior parietal artery	posterior parietal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001619	ophthalmic artery	ophthalmic artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0012318	anterior ethmoidal artery	anterior ethmoidal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0010251	anterior meningeal artery	anterior meningeal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001620	central retinal artery	central retinal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001623	dorsal nasal artery	dorsal nasal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002270	hyaloid artery	hyaloid artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001622	lacrimal artery	lacrimal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0014772	lateral palpebral artery	lateral palpebral artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0014773	medial palpebral artery	medial palpebral artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0012319	posterior ethmoidal artery	posterior ethmoidal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0005336	capillary layer of choroid	capillary layer of choroid
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0015160	supraorbital artery	supraorbital artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0012187	frontal artery	frontal artery
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001628	posterior communicating artery	posterior communicating artery
